Date,Open,High,Low,Close,Adj Close,Volume
09-11-2017,913.5,917.5,910.549988,913.924988,886.325134,1556654
10-11-2017,910.849976,917.400024,906.174988,911,883.488525,3872180
13-11-2017,911,911.575012,897.5,906.775024,879.391174,1667936
14-11-2017,907.950012,909.5,900,901.174988,873.960144,2356234
15-11-2017,899,901.825012,894,900.125,872.941956,3074184
16-11-2017,902,908,897.599976,903.849976,876.554382,2006486
17-11-2017,914.349976,919.150024,906.575012,912.775024,885.2099,3179386
20-11-2017,914.5,919.849976,914.5,919.075012,891.319641,1196212
21-11-2017,918.724976,925,918.049988,923.125,895.247314,1137766
22-11-2017,924.849976,930,922.275024,927.625,899.611511,2830398
23-11-2017,929.5,930,919,921.424988,893.598694,1616290
24-11-2017,921.5,928.900024,920.5,925.700012,897.744507,2601842
27-11-2017,924.5,931,922.799988,928.775024,900.726685,1935236
28-11-2017,928,935.5,927.924988,932.674988,904.50885,2545270
29-11-2017,932.5,937.75,927.900024,936.650024,908.363892,1637292
30-11-2017,934.349976,936.974976,920,926.849976,898.859802,2898156
01-12-2017,927.450012,930,922.049988,924.099976,896.192749,1929074
04-12-2017,927.450012,927.450012,915.049988,917.049988,889.355774,1820966
05-12-2017,913,914.275024,903.5,910.224976,882.736877,1946680
06-12-2017,909.974976,910.674988,899.5,901.650024,874.420837,3197560
07-12-2017,903.325012,908.299988,901.549988,904.825012,877.5,2115652
08-12-2017,907,926.5,907,920.200012,892.410645,4478200
11-12-2017,924,925.875,920,923.200012,895.320068,1599116
12-12-2017,924.549988,924.950012,907.974976,909.950012,882.470215,1205294
13-12-2017,910.025024,922.5,907.549988,910.674988,883.173279,1453730
14-12-2017,912,920,906,919.025024,891.27124,1841546
15-12-2017,928,944,927.75,936.724976,908.436584,6225062
18-12-2017,927.5,949.5,904.650024,939.474976,911.103516,6148994
19-12-2017,939.900024,946.825012,938.075012,942.25,913.7948,2476056
20-12-2017,949.450012,951.549988,931.825012,934.075012,905.866699,4671752
21-12-2017,939.950012,942.5,932.599976,934.150024,905.939453,3427272
22-12-2017,939.5,940,930.875,938.325012,909.988342,2235452
26-12-2017,940.5,941.400024,928.349976,934.174988,905.963623,3392848
27-12-2017,935.049988,935.150024,925.575012,928.375,900.338867,1744692
28-12-2017,929.450012,940.450012,929,939.025024,910.667236,4350260
29-12-2017,938.400024,939.599976,934.075012,936.200012,907.92749,3172936
01-01-2018,936.349976,940.375,925.25,927.25,899.247742,3290258
02-01-2018,929.275024,937.5,929.275024,936.174988,907.903198,2388158
03-01-2018,937.5,939.125,925.599976,926.325012,898.350769,2265644
04-01-2018,926.5,932.75,926.5,929.950012,901.866272,1186888
05-01-2018,931.5,934.025024,927.775024,931.799988,903.660339,1435434
08-01-2018,932.5,935.349976,928.875,930.299988,902.205627,2285154
09-01-2018,931,934.924988,927.5,931.849976,903.708862,2652764
